Cluster_Agglo,Year,Species_List,Centroid_Latitude,Centroid_Longitude,Radius_Km,City_State,Habitat,Richness
3,2023,"Sciurus carolinensis, Vulpes vulpes, Canis familiaris, Sciurus niger, Mephitis mephitis, Canis latrans, Odocoileus virginianus, Didelphis virginiana, Procyon lotor",40.7561795194991,-96.76898048484848,50,Lincoln - Nebraska,grassland,9
4,2019,"Canis familiaris, Odocoileus virginianus, Canis latrans, Sciurus carolinensis, Urocyon cinereoargenteus, Lynx rufus, Vulpes vulpes, Procyon lotor, Didelphis virginiana, Bos taurus, Sylvilagus floridanus",36.05310610732717,-79.37719193548389,50,Alamance County - North Carolina,forest,11
5,2019,"Odocoileus virginianus, Didelphis virginiana, Canis latrans, Sciurus carolinensis, Canis familiaris, Procyon lotor, Sylvilagus floridanus, Urocyon cinereoargenteus",35.928847829203,-78.7751340918587,50,Durham County - North Carolina,forest,8
5,2020,"Odocoileus virginianus, Sciurus carolinensis, Canis latrans, Equus caballus, Canis familiaris, Procyon lotor, Lontra canadensis, Didelphis virginiana, Mephitis mephitis, Lynx rufus, Sylvilagus floridanus, Felis catus",35.928847829203,-78.7751340918587,50,Durham County - North Carolina,forest,12
5,2021,"Canis latrans, Sciurus carolinensis, Glaucomys sabrinus, Mephitis mephitis, Odocoileus virginianus, Procyon lotor, Didelphis virginiana, Canis familiaris, Equus caballus, Felis catus, Urocyon cinereoargenteus, Sylvilagus floridanus, Vulpes vulpes",35.928847829203,-78.7751340918587,50,Durham County - North Carolina,forest,13
5,2022,"Odocoileus virginianus, Canis latrans, Canis familiaris, Sylvilagus floridanus, Sciurus carolinensis, Procyon lotor, Didelphis virginiana, Ursus americanus, Lynx rufus, Equus caballus, Vulpes vulpes, Mephitis mephitis, Urocyon cinereoargenteus, Glaucomys volans",35.928847829203,-78.7751340918587,50,Durham County - North Carolina,forest,14
5,2023,"Canis familiaris, Odocoileus virginianus, Sylvilagus floridanus, Sciurus carolinensis, Canis latrans, Urocyon cinereoargenteus, Equus caballus, Procyon lotor, Didelphis virginiana, Vulpes vulpes, Mephitis mephitis, Glaucomys volans, Felis catus, Lynx rufus",35.928847829203,-78.7751340918587,50,Durham County - North Carolina,forest,14
6,2019,"Odocoileus virginianus, Sciurus carolinensis, Procyon lotor, Didelphis virginiana, Canis latrans, Lynx rufus",36.85330800550116,-88.64678899999997,50,Graves County - Kentucky,forest,6
6,2020,"Sciurus carolinensis, Vulpes vulpes, Felis catus, Didelphis virginiana, Procyon lotor, Odocoileus virginianus, Dasypus novemcinctus, Sylvilagus floridanus, Canis latrans, Lynx rufus, Sciurus niger, Urocyon cinereoargenteus, Sciurus griseus",36.85330800550116,-88.64678899999997,50,Graves County - Kentucky,forest,13
6,2021,"Castor canadensis, Lynx rufus, Canis latrans, Sciurus niger, Sciurus carolinensis, Dasypus novemcinctus, Lontra canadensis, Procyon lotor, Mephitis mephitis, Didelphis virginiana, Odocoileus virginianus, Canis familiaris, Glaucomys volans",36.85330800550116,-88.64678899999997,50,Graves County - Kentucky,forest,13
6,2022,"Neovison vison, Sciurus niger, Sciurus carolinensis, Dasypus novemcinctus, Procyon lotor, Odocoileus virginianus, Canis latrans, Vulpes vulpes, Lynx rufus, Didelphis virginiana, Mustela frenata, Glaucomys volans, Mephitis mephitis",36.85330800550116,-88.64678899999997,50,Graves County - Kentucky,forest,13
7,2019,"Sciurus carolinensis, Odocoileus virginianus, Canis latrans, Procyon lotor, Sylvilagus floridanus, Equus caballus, Canis familiaris, Felis catus, Didelphis virginiana, Urocyon cinereoargenteus, Vulpes vulpes",35.241751929890334,-79.46712656249997,50,Moore County - North Carolina,forest,11
8,2020,"Canis familiaris, Canis latrans, Procyon lotor, Lynx rufus, Peromyscus leucopus, Sciurus carolinensis, Ursus americanus, Odocoileus virginianus, Sylvilagus floridanus, Vulpes vulpes, Tamias striatus, Mustela frenata, Sciurus niger, Didelphis virginiana, Urocyon cinereoargenteus, Mephitis mephitis, Felis catus, Tamiasciurus hudsonicus",36.12926374145898,-81.85209175757575,50,Watauga County - North Carolina,forest,18
8,2021,"Ursus americanus, Lynx rufus, Tamias striatus, Procyon lotor, Canis latrans, Odocoileus virginianus, Canis familiaris, Sciurus carolinensis, Tamiasciurus hudsonicus, Urocyon cinereoargenteus, Vulpes vulpes, Sylvilagus floridanus, Spilogale putorius, Didelphis virginiana",36.12926374145898,-81.85209175757575,50,Watauga County - North Carolina,forest,14
8,2022,"Ursus americanus, Lynx rufus, Canis latrans, Canis familiaris, Vulpes vulpes, Odocoileus virginianus, Sciurus niger, Sciurus carolinensis, Procyon lotor, Tamias striatus, Tamiasciurus hudsonicus, Didelphis virginiana, Mustela frenata, Canis rufus, Sylvilagus obscurus, Glaucomys sabrinus",36.12926374145898,-81.85209175757575,50,Watauga County - North Carolina,forest,16
9,2019,"Sciurus carolinensis, Odocoileus virginianus, Sylvilagus floridanus, Ursus americanus, Didelphis virginiana, Sciurus niger, Procyon lotor, Vulpes vulpes, Tamias striatus, Neovison vison",38.83967741457332,-78.10686120136987,50,Fauquier County - Virginia,forest,10
9,2020,"Procyon lotor, Odocoileus virginianus, Ursus americanus, Tamias striatus, Sciurus carolinensis, Didelphis virginiana, Canis latrans, Sciurus niger, Sylvilagus floridanus, Lynx rufus, Mephitis mephitis",38.83967741457332,-78.10686120136987,50,Fauquier County - Virginia,forest,11
9,2021,"Ursus americanus, Lynx rufus, Canis latrans, Procyon lotor, Odocoileus virginianus, Didelphis virginiana, Sciurus carolinensis, Sylvilagus floridanus, Sciurus niger",38.83967741457332,-78.10686120136987,50,Fauquier County - Virginia,forest,9
9,2022,"Ursus americanus, Sciurus niger, Sciurus carolinensis, Procyon lotor, Odocoileus virginianus, Didelphis virginiana, Canis latrans, Tamias striatus, Vulpes vulpes, Lynx rufus, Sylvilagus floridanus, Glaucomys volans, Canis familiaris",38.83967741457332,-78.10686120136987,50,Fauquier County - Virginia,forest,13
9,2023,"Ursus americanus, Odocoileus virginianus, Sciurus carolinensis, Procyon lotor, Sciurus niger, Sylvilagus floridanus, Didelphis virginiana, Felis catus, Canis latrans, Lynx rufus, Tamias striatus, Mephitis mephitis, Vulpes vulpes, Canis familiaris, Glaucomys volans, Castor canadensis, Equus caballus, Peromyscus leucopus, Spilogale putorius",38.83967741457332,-78.10686120136987,50,Fauquier County - Virginia,forest,19
10,2019,"Odocoileus virginianus, Didelphis virginiana, Dasypus novemcinctus, Sus scrofa, Procyon lotor, Lynx rufus, Canis latrans, Ursus americanus, Sciurus niger, Sciurus carolinensis, Canis familiaris",29.69826628998865,-82.12579469800004,50,Alachua County - Florida,forest,11
10,2020,"Odocoileus virginianus, Procyon lotor, Dasypus novemcinctus, Sciurus carolinensis, Canis latrans, Lynx rufus, Sus scrofa, Didelphis virginiana",29.69826628998865,-82.12579469800004,50,Alachua County - Florida,forest,8
10,2021,"Ursus americanus, Canis latrans, Procyon lotor, Odocoileus virginianus, Lynx rufus, Dasypus novemcinctus, Didelphis virginiana, Sciurus carolinensis, Sylvilagus floridanus, Sylvilagus palustris",29.69826628998865,-82.12579469800004,50,Alachua County - Florida,forest,10
10,2022,"Sciurus carolinensis, Lynx rufus, Canis latrans, Sylvilagus floridanus, Dasypus novemcinctus, Procyon lotor, Didelphis virginiana, Odocoileus virginianus, Ursus americanus, Canis familiaris, Urocyon cinereoargenteus, Sciurus niger, Sylvilagus palustris, Lontra canadensis, Felis catus, Sus scrofa, Sigmodon hispidus",29.69826628998865,-82.12579469800004,50,Alachua County - Florida,forest,17
10,2023,"Odocoileus virginianus, Sciurus carolinensis, Didelphis virginiana, Procyon lotor, Dasypus novemcinctus, Vulpes vulpes, Sylvilagus floridanus, Sylvilagus palustris, Canis familiaris, Felis catus, Canis latrans, Lynx rufus, Urocyon cinereoargenteus, Sus scrofa, Lontra canadensis",29.69826628998865,-82.12579469800004,50,Alachua County - Florida,forest,15
11,2019,"Odocoileus virginianus, Procyon lotor, Lynx rufus, Canis latrans, Canis familiaris, Didelphis virginiana, Sciurus carolinensis, Bos taurus, Urocyon cinereoargenteus, Sylvilagus floridanus, Ursus americanus, Mephitis mephitis",36.35106890460992,-80.73421173913044,50,Surry County - North Carolina,forest,12
12,2019,"Odocoileus virginianus, Dasypus novemcinctus, Procyon lotor, Lynx rufus, Canis latrans, Sciurus carolinensis, Didelphis virginiana, Tamias striatus, Glaucomys volans, Mephitis mephitis, Sylvilagus floridanus, Canis familiaris, Lontra canadensis",36.15835252044485,-87.03294677777778,50,Nashville - Tennessee,forest,13
12,2020,"Didelphis virginiana, Odocoileus virginianus, Dasypus novemcinctus, Sciurus carolinensis, Canis latrans, Sylvilagus floridanus, Lynx rufus, Mephitis mephitis, Procyon lotor, Vulpes vulpes, Sus scrofa",36.15835252044485,-87.03294677777778,50,Nashville - Tennessee,forest,11
12,2021,"Lynx rufus, Canis latrans, Sciurus carolinensis, Dasypus novemcinctus, Procyon lotor, Odocoileus virginianus, Didelphis virginiana, Mephitis mephitis",36.15835252044485,-87.03294677777778,50,Nashville - Tennessee,forest,8
12,2022,"Lynx rufus, Canis latrans, Sciurus niger, Sciurus carolinensis, Procyon lotor, Vulpes vulpes, Odocoileus virginianus, Sylvilagus floridanus, Canis familiaris, Lontra canadensis, Castor canadensis, Didelphis virginiana, Tamias striatus, Dasypus novemcinctus, Rattus norvegicus, Peromyscus gossypinus, Microtus ochrogaster, Ondatra zibethicus, Neovison vison, Marmota monax",36.15835252044485,-87.03294677777778,50,Nashville - Tennessee,"anthropogenic, grassland",20
12,2023,"Canis familiaris, Odocoileus virginianus, Sciurus carolinensis, Procyon lotor, Canis latrans, Tamias striatus, Dasypus novemcinctus, Didelphis virginiana, Lynx rufus, Neovison vison, Lontra canadensis, Marmota monax, Sciurus niger",36.15835252044485,-87.03294677777778,50,Nashville - Tennessee,forest,13
13,2019,"Odocoileus virginianus, Ursus americanus, Odocoileus hemionus, Ursus arctos, Cervus canadensis, Canis latrans, Bos taurus, Mephitis mephitis, Alces alces, Lynx rufus, Vulpes vulpes, Lepus americanus, Tamiasciurus hudsonicus, Canis lupus",46.990239342313664,-113.29977805522388,50,Missoula County - Montana,forest,14
13,2022,"Odocoileus virginianus, Lepus americanus, Ursus americanus, Tamiasciurus hudsonicus, Canis familiaris, Cervus canadensis, Puma concolor, Vulpes vulpes, Mephitis mephitis, Odocoileus hemionus, Bos taurus, Alces alces, Canis latrans, Neovison vison, Equus caballus",46.990239342313664,-113.29977805522388,50,Missoula County - Montana,forest,15
13,2023,"Cervus canadensis, Odocoileus virginianus, Canis latrans, Ursus americanus, Odocoileus hemionus, Ursus arctos, Martes americana, Vulpes vulpes, Alces alces, Mephitis mephitis, Tamiasciurus hudsonicus, Lynx rufus, Canis lupus, Puma concolor, Bos taurus, Castor canadensis, Lepus americanus",46.990239342313664,-113.29977805522388,50,Missoula County - Montana,grassland,17
14,2019,"Odocoileus virginianus, Procyon lotor, Bos taurus, Sylvilagus floridanus, Didelphis virginiana, Canis latrans, Mephitis mephitis, Sciurus niger, Sciurus carolinensis, Lynx rufus, Urocyon cinereoargenteus, Dasypus novemcinctus, Marmota monax, Lontra canadensis, Felis catus, Vulpes vulpes, Canis familiaris",39.094871440966365,-92.54444763636364,50,Howard County - Missouri,anthropogenic,17
14,2020,"Odocoileus virginianus, Procyon lotor, Canis latrans, Sciurus niger, Bos taurus, Mephitis mephitis, Didelphis virginiana, Sylvilagus floridanus, Lynx rufus, Sciurus carolinensis, Marmota monax, Canis familiaris, Vulpes vulpes, Felis catus, Urocyon cinereoargenteus",39.094871440966365,-92.54444763636364,50,Howard County - Missouri,anthropogenic,15
14,2021,"Lynx rufus, Sylvilagus floridanus, Sciurus niger, Sciurus carolinensis, Urocyon cinereoargenteus, Procyon lotor, Didelphis virginiana, Odocoileus virginianus, Canis latrans, Marmota monax, Glaucomys volans, Canis familiaris",39.094871440966365,-92.54444763636364,50,Howard County - Missouri,forest,12
14,2023,"Odocoileus virginianus, Sciurus carolinensis, Didelphis virginiana, Lontra canadensis, Procyon lotor, Sciurus niger, Canis latrans, Sylvilagus floridanus, Marmota monax, Glaucomys volans, Lynx rufus, Mustela frenata, Neovison vison, Dasypus novemcinctus, Canis familiaris",39.094871440966365,-92.54444763636364,50,Howard County - Missouri,forest,15
15,2021,"Lynx rufus, Canis latrans, Sciurus carolinensis, Procyon lotor, Odocoileus virginianus, Dasypus novemcinctus, Canis familiaris, Sus scrofa",30.688076334806507,-89.9795157142857,50,Washington Parish - Louisiana,forest,8
15,2023,"Dasypus novemcinctus, Odocoileus virginianus, Sciurus carolinensis, Didelphis virginiana, Canis latrans, Procyon lotor, Canis familiaris, Sus scrofa, Lynx rufus, Sciurus niger, Urocyon cinereoargenteus",30.688076334806507,-89.9795157142857,50,Washington Parish - Louisiana,forest,11
16,2019,"Sciurus carolinensis, Sylvilagus floridanus, Procyon lotor, Pekania pennanti, Odocoileus virginianus, Urocyon cinereoargenteus, Canis latrans, Tamias striatus, Didelphis virginiana, Mephitis mephitis, Erethizon dorsatum, Tamiasciurus hudsonicus, Ursus americanus",42.72440887254236,-73.65800197855263,50,Albany County - New York,forest,13
16,2020,"Sciurus carolinensis, Sylvilagus floridanus, Odocoileus virginianus, Tamias striatus, Procyon lotor, Glaucomys sabrinus, Didelphis virginiana, Marmota monax, Pekania pennanti, Ursus americanus, Tamiasciurus hudsonicus, Peromyscus leucopus, Mustela erminea, Canis latrans, Erethizon dorsatum, Felis catus, Canis familiaris",42.72440887254236,-73.65800197855263,50,Albany County - New York,forest,17
16,2021,"Ursus americanus, Odocoileus virginianus, Sciurus carolinensis, Canis familiaris, Pekania pennanti, Erethizon dorsatum, Procyon lotor, Vulpes vulpes, Tamiasciurus hudsonicus, Tamias striatus, Sylvilagus floridanus, Felis catus, Canis latrans, Mephitis mephitis, Didelphis virginiana, Neotamias townsendii",42.72440887254236,-73.65800197855263,50,Albany County - New York,forest,16
16,2022,"Tamiasciurus hudsonicus, Odocoileus virginianus, Sciurus carolinensis, Canis latrans, Tamias striatus, Procyon lotor, Ursus americanus, Erethizon dorsatum, Felis catus, Didelphis virginiana, Vulpes vulpes, Sylvilagus floridanus, Pekania pennanti, Canis familiaris",42.72440887254236,-73.65800197855263,50,Albany County - New York,forest,14
16,2023,"Odocoileus virginianus, Canis latrans, Sylvilagus floridanus, Pekania pennanti, Tamiasciurus hudsonicus, Procyon lotor, Sciurus carolinensis, Tamias striatus, Sciurus niger, Ursus americanus, Erethizon dorsatum, Peromyscus leucopus, Glaucomys sabrinus, Ondatra zibethicus, Canis familiaris, Vulpes vulpes, Lynx rufus, Felis catus, Urocyon cinereoargenteus",42.72440887254236,-73.65800197855263,50,Albany County - New York,forest,19
17,2019,"Odocoileus virginianus, Sciurus carolinensis, Didelphis virginiana, Canis latrans, Procyon lotor, Tamias striatus, Sciurus niger",36.66064177125696,-83.537747372549,50,Lee County - Virginia,forest,7
17,2020,"Odocoileus virginianus, Sciurus carolinensis, Ursus americanus, Tamias striatus, Procyon lotor, Sciurus niger, Canis latrans, Mustela frenata, Didelphis virginiana, Lynx rufus, Mephitis mephitis, Felis catus",36.66064177125696,-83.537747372549,50,Lee County - Virginia,forest,12
17,2021,"Ursus americanus, Lynx rufus, Sciurus carolinensis, Procyon lotor, Odocoileus virginianus, Canis latrans, Vulpes vulpes, Mephitis mephitis, Canis familiaris, Tamias striatus, Sylvilagus floridanus, Didelphis virginiana, Sciurus niger, Glaucomys volans, Blarina brevicauda, Urocyon cinereoargenteus, Felis catus",36.66064177125696,-83.537747372549,50,Lee County - Virginia,forest,17
17,2022,"Ursus americanus, Lynx rufus, Tamias striatus, Sylvilagus floridanus, Sciurus carolinensis, Glaucomys volans, Odocoileus virginianus, Canis latrans, Procyon lotor, Didelphis virginiana, Canis familiaris, Sciurus niger, Marmota monax, Mephitis mephitis, Vulpes vulpes",36.66064177125696,-83.537747372549,50,Lee County - Virginia,forest,15
18,2019,"Didelphis virginiana, Sciurus carolinensis, Odocoileus virginianus, Canis familiaris, Procyon lotor, Ursus americanus, Canis latrans, Sylvilagus floridanus, Lynx rufus, Felis catus, Canis rufus, Equus caballus",35.86511938320937,-75.84696643651162,50,Dare County - North Carolina,forest,12
18,2020,"Ursus americanus, Odocoileus virginianus, Sciurus carolinensis, Procyon lotor, Didelphis virginiana, Lynx rufus, Lontra canadensis, Canis familiaris, Canis rufus, Sylvilagus palustris, Canis latrans",35.86511938320937,-75.84696643651162,50,Dare County - North Carolina,wetland,11
18,2021,"Ursus americanus, Canis familiaris, Sciurus carolinensis, Sylvilagus palustris, Procyon lotor, Didelphis virginiana, Lynx rufus, Canis rufus, Odocoileus virginianus, Canis latrans, Equus caballus, Lontra canadensis",35.86511938320937,-75.84696643651162,50,Dare County - North Carolina,wetland,12
18,2022,"Ursus americanus, Odocoileus virginianus, Lynx rufus, Sciurus carolinensis, Sylvilagus palustris, Procyon lotor, Didelphis virginiana, Canis familiaris, Canis rufus, Equus caballus, Lontra canadensis, Canis latrans",35.86511938320937,-75.84696643651162,50,Dare County - North Carolina,wetland,12
19,2019,"Procyon lotor, Felis catus, Sciurus niger, Canis familiaris, Odocoileus hemionus, Vulpes vulpes, Canis latrans, Equus caballus, Mephitis mephitis, Otospermophilus variegatus, Sylvilagus nuttallii, Erethizon dorsatum, Castor canadensis, Ondatra zibethicus",40.71064944435089,-111.81888949242422,50,Salt Lake County - Utah,anthropogenic,14
19,2020,"Felis catus, Procyon lotor, Canis familiaris, Vulpes vulpes, Odocoileus hemionus, Sciurus niger, Alces alces, Otospermophilus variegatus, Mephitis mephitis, Canis latrans, Sylvilagus nuttallii, Erethizon dorsatum, Equus caballus, Lynx rufus, Tamiasciurus hudsonicus, Puma concolor, Glaucomys sabrinus, Cervus canadensis, Lepus townsendii, Ursus americanus, Mustela erminea",40.71064944435089,-111.81888949242422,50,Salt Lake County - Utah,"anthropogenic, forest",21
19,2021,"Taxidea taxus, Canis latrans, Cervus canadensis, Alces alces, Odocoileus hemionus, Puma concolor, Lepus americanus, Mephitis mephitis, Ursus americanus, Procyon lotor, Castor canadensis, Neovison vison, Canis familiaris, Felis catus, Vulpes vulpes, Sciurus niger, Tamiasciurus hudsonicus, Otospermophilus variegatus, Lynx rufus, Erethizon dorsatum",40.71064944435089,-111.81888949242422,50,Salt Lake County - Utah,"anthropogenic, forest",20
19,2022,"Ursus americanus, Neovison vison, Canis latrans, Sciurus niger, Cervus canadensis, Alces alces, Odocoileus hemionus, Procyon lotor, Puma concolor, Tamiasciurus hudsonicus, Otospermophilus variegatus, Mephitis mephitis, Castor canadensis, Vulpes vulpes, Lepus americanus, Sylvilagus nuttallii, Felis catus, Canis familiaris, Equus caballus, Lynx rufus, Mustela erminea",40.71064944435089,-111.81888949242422,50,Salt Lake County - Utah,"anthropogenic, forest",21
19,2023,"Odocoileus hemionus, Cervus canadensis, Canis latrans, Alces alces, Otospermophilus variegatus, Procyon lotor, Sciurus niger, Taxidea taxus, Ondatra zibethicus, Mephitis mephitis, Neotamias minimus, Tamiasciurus hudsonicus, Felis catus, Lynx rufus, Mustela frenata, Ursus americanus, Puma concolor, Vulpes vulpes, Glaucomys sabrinus, Castor canadensis, Canis familiaris, Urocitellus armatus, Equus caballus",40.71064944435089,-111.81888949242422,50,Salt Lake County - Utah,"desert, forest, grassland",23
20,2019,"Odocoileus virginianus, Procyon lotor, Vulpes vulpes, Sciurus carolinensis, Tamias striatus, Pekania pennanti, Ursus americanus, Tamiasciurus hudsonicus, Mephitis mephitis, Erethizon dorsatum, Canis familiaris, Canis latrans, Lynx rufus, Sylvilagus floridanus, Didelphis virginiana, Mustela erminea, Neovison vison, Lontra canadensis",44.40798392309878,-75.08852738780487,50,Saint Lawrence County - New York,forest,18
20,2020,"Odocoileus virginianus, Sylvilagus floridanus, Canis familiaris, Ursus americanus, Procyon lotor, Canis latrans, Martes americana, Urocyon cinereoargenteus, Erethizon dorsatum, Lynx rufus, Sciurus carolinensis, Tamiasciurus hudsonicus",44.40798392309878,-75.08852738780487,50,Saint Lawrence County - New York,forest,12
20,2021,"Ursus americanus, Sciurus carolinensis, Procyon lotor, Tamiasciurus hudsonicus, Odocoileus virginianus, Canis latrans, Tamias striatus, Pekania pennanti, Canis familiaris, Erethizon dorsatum, Vulpes vulpes, Lepus americanus",44.40798392309878,-75.08852738780487,50,Saint Lawrence County - New York,forest,12
21,2023,"Didelphis virginiana, Procyon lotor, Dasypus novemcinctus, Odocoileus virginianus, Sylvilagus floridanus, Sciurus niger, Sciurus carolinensis, Canis latrans",37.31458971313904,-90.12716933333334,50,Bollinger County - Missouri,forest,8
22,2022,"Felis catus, Sciurus carolinensis, Urocyon cinereoargenteus, Tamias striatus, Didelphis virginiana, Canis latrans, Procyon lotor, Odocoileus virginianus, Canis familiaris, Sylvilagus floridanus, Vulpes vulpes, Rattus rattus",33.75436807836098,-84.43456191319149,50,Atlanta - Georgia,anthropogenic,12
22,2023,"Didelphis virginiana, Felis catus, Procyon lotor, Urocyon cinereoargenteus, Sciurus carolinensis, Tamias striatus, Canis familiaris, Odocoileus virginianus, Canis latrans, Sylvilagus floridanus, Dasypus novemcinctus, Lynx rufus, Vulpes vulpes",33.75436807836098,-84.43456191319149,50,Atlanta - Georgia,forest,13
23,2019,"Odocoileus virginianus, Procyon lotor, Felis catus, Sylvilagus floridanus, Mephitis mephitis, Sciurus niger, Didelphis virginiana, Canis latrans, Taxidea taxus, Ovis aries, Vulpes vulpes",44.39031099965336,-96.7248450980392,50,Brookings County - South Dakota,grassland,11
23,2020,"Canis latrans, Sciurus niger, Sylvilagus floridanus, Odocoileus virginianus, Didelphis virginiana, Procyon lotor, Felis catus, Mephitis mephitis, Vulpes vulpes, Equus caballus, Ovis aries",44.39031099965336,-96.7248450980392,50,Brookings County - South Dakota,grassland,11
23,2021,"Taxidea taxus, Felis catus, Procyon lotor, Mephitis mephitis, Didelphis virginiana, Odocoileus virginianus, Ovis aries, Sylvilagus floridanus, Sciurus niger, Vulpes vulpes, Canis latrans, Mustela frenata",44.39031099965336,-96.7248450980392,50,Brookings County - South Dakota,grassland,12
23,2022,"Procyon lotor, Felis catus, Sylvilagus floridanus, Sciurus niger, Didelphis virginiana, Odocoileus virginianus, Canis latrans, Canis familiaris, Vulpes vulpes, Mephitis mephitis, Equus asinus, Ovis aries",44.39031099965336,-96.7248450980392,50,Brookings County - South Dakota,grassland,12
23,2023,"Odocoileus virginianus, Sylvilagus floridanus, Procyon lotor, Canis latrans, Sciurus niger, Neovison vison, Didelphis virginiana, Castor canadensis, Mephitis mephitis, Lepus townsendii, Canis familiaris, Felis catus, Bos taurus, Vulpes vulpes, Ictidomys tridecemlineatus",44.39031099965336,-96.7248450980392,50,Brookings County - South Dakota,grassland,15
24,2023,"Odocoileus virginianus, Sylvilagus floridanus, Canis latrans, Canis familiaris, Procyon lotor, Urocyon cinereoargenteus, Sciurus carolinensis, Dasypus novemcinctus, Didelphis virginiana, Lynx rufus, Ursus americanus",30.502135963927067,-84.8194977,50,Gadsden County - Florida,"forest, grassland",11
25,2023,"Sciurus carolinensis, Canis latrans, Sciurus niger, Neotoma floridana, Dasypus novemcinctus, Odocoileus virginianus, Procyon lotor, Didelphis virginiana",38.191130589225175,-94.57463966666668,50,Bates County - Missouri,forest,8
26,2019,"Sciurus niger, Odocoileus virginianus, Procyon lotor, Sciurus carolinensis, Didelphis virginiana, Dasypus novemcinctus, Sylvilagus floridanus, Lynx rufus, Marmota monax, Canis latrans, Castor canadensis, Mephitis mephitis, Canis familiaris, Felis catus",37.41571257065632,-94.69785335333331,50,Crawford County - Kansas,forest,14
